"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Eastern Mediterranean","Afghanistan","Male","8.0 [4.6-13.1]","7.95000","4.55000","13.10960","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Eastern Mediterranean","Afghanistan","Female","6.1 [3.6-9.8]","6.08000","3.55000","9.83000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Eastern Mediterranean","Afghanistan","Male","6.6 [3.8-10.9]","6.56000","3.83000","10.88380","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Eastern Mediterranean","Afghanistan","Male","7.4 [4.3-12.2]","7.38000","4.29000","12.16800","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2016","Eastern Mediterranean","Afghanistan","Male","6.2 [3.6-10.3]","6.15000","3.58000","10.26290","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Eastern Mediterranean","Afghanistan","Male","6.1 [3.6-10.2]","6.14000","3.59000","10.23830","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2003","Eastern Mediterranean","Afghanistan","Female","7.6 [4.5-12.2]","7.60000","4.45000","12.17060","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Eastern Mediterranean","Afghanistan","Female","7.1 [4.2-11.4]","7.11000","4.16000","11.37240","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2006","Eastern Mediterranean","Afghanistan","Female","7.3 [4.3-11.7]","7.31000","4.27000","11.67970","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Eastern Mediterranean","Afghanistan","Female","7.4 [4.3-11.9]","7.44000","4.33000","11.87220","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2018","Eastern Mediterranean","Afghanistan","Male","6.2 [3.5-10.4]","6.19000","3.54000","10.41360","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Eastern Mediterranean","Afghanistan","Female","7.9 [4.6-12.6]","7.89000","4.59000","12.58770","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Eastern Mediterranean","Afghanistan","Female","7.8 [4.5-12.4]","7.77000","4.50000","12.39000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2003","Eastern Mediterranean","Afghanistan","Both sexes","7.7 [4.5-12.5]","7.72000","4.48000","12.51840","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Eastern Mediterranean","Afghanistan","Both sexes","6.8 [4.0-11.1]","6.84000","4.01000","11.11490","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2006","Eastern Mediterranean","Afghanistan","Both sexes","7.6 [4.4-12.3]","7.56000","4.40000","12.25500","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Eastern Mediterranean","Afghanistan","Both sexes","6.2 [3.6-10.2]","6.24000","3.64000","10.22420","","",""
